"","Flavor"
"9428","""I can no longer sit in my workshop and ignore the events outside. My hammers strike for the people of Ghirapur."""
"9429","""A burst of hot air tossed the moon into the air, and the moon liked it up there so much it never needed the ground again."" —Azeworai, ""Glitter Moon"""
"9430","""Look deep into the Grail, and see there what you desire most."" —Gerda Äagesdotter, Archmage of the Unseen"
"9431","""We must all hang together, or assuredly we shall all hang separately."" —Benjamin Franklin"
"9432","Deserts are inhospitable, not uninhabitable."
"9433","""Making a living in Kessig is hard, but I've learned some tricks of the trade."""
"9434","When the howl beckons, he cannot resist the urge to join the others."
"9435","The gemini engines had lost connection with each other and wandered apart, developing an independent awareness of their surroundings."
"9436","Lost to time is the artificer's art of trapping light from a distant star in a ring of purest gold."
"9437","""Carry war to the Dauthi, no matter the way, no matter the world."" —Soltari battle chant"
"9438","Alone at the portal, Ertai began his meditation. He realized immediately that he was not alone."
"9439","""Children of the Ruins, raised to be warriors, know that life begins when another speaks their names."" —Soltari Tales of Life"
"9440","""In times of war the victors rarely save their best for last."" —Gerrard of the Weatherlight"
"9441","""Prayer rarely explains."" —Orim, Samite healer"
"9442","""In Rath,"" the priest said, ""there is even greater need for prayer."""
"9443","""Dauthi blood is soltari wine."" —Soltari Tales of Life"
"9444","The vedalken interrogate all intruders—once the hoverguards are done with them."
"9445","The Somberwald is her domain, and she has yet to hear an acceptable excuse for trespassing."
"9446","""You can face any danger when all of nature is on your side."""
"9447","Stensian vampires encourage spiders near their manors so they can rob the webs."
"9448","Despite the reemergence of werewolves and the proliferation of Eldrazi, elk numbers in the Somberwald have remained steady."
"9449","He has nothing left but his resentment."
"9450","""Are you tired? You look tired."""
"9451","Purraj sang slaughter and danced death."
"9452","Heartwood brings peace in great symphonies where dryads conduct the trees through every note."
"9453","Few who encounter the strange, human-like grove leave once the lilting chorus of the dryads reaches their ears."
"9454","Not wind, but the breath of the dead."
"9455","The true names of birds are songs woven into their souls."
"9456","Music scythes the savage beast."
"9457","They pick at the remains of the city's corpse."
"9458","Orim taught Ta-Karnst and the other Cho-Arrim healers a far less invasive method of healing."
"9459","The vizier's wisdom proved invaluable in untangling the Mercadian knot of lies."
"9460","""If one gets in your chimney, you're going to need a long wick and a barrel of bangstuff to get it out."" —Hob Heddil"
"9461","""Nothing warms my heart better than a spirit kindled with rage."""
"9462","""Why allow the fires of others to burn, when ours do not? Why leave them content, while we suffer? If there is to be misery, let it be borne by all."""
"9463","He endures the pain of remembering Krosa as it once was and hopes that a future generation will have need of his memories."
"9464","""You hide your actions from eyes on the ground, but nothing escapes the clouds."""
"9465","""The clouds obey my whims, and you'll obey theirs."""
"9466","""To prevent, one must first predict."""
"9467","Their mirrors show two worlds: that which is and that which should be."
"9468","""Soraya speaks with the hunters of the air, as do all of her family line."" —Autumn Willow"
"9469","Simun the Quiet filled the chest with his most precious thoughts. But in a fit of paranoia, he locked up the memory of where he hid the key."
"9470","""We have always counted time with sand; this pinch is your meaningless life."" —Nailah, self-proclaimed Queen of Rabiah"
"9471","Do not react; anticipate."
"9472","""All your steel won't protect you if your will is weak."""
"9473","""Cherish these last moments. Though your miserable life has come to nothing, I have given it a magnificent end."""
"9474","""The Soul selects her own Society— Then—shuts the Door—"" —Emily Dickinson, ""The Soul selects her own Society"""
"9475","He grants endless wishes, as long as you always wish for a blade."
"9476","Whether the end comes swift or slow, it always comes too soon."
"9477","The kor's most righteous dead are given the greatest reward: an eternity tied to the land they so cherish."
"9478","When provoked, a flamekin's inner fire burns far hotter than any giant's forge."
"9479","Vowing to free the souls of her children, Kastinne followed the tormentors into the ghastly network of caves below Stensia."
"9480","""Their spirits walk the winds and fill my soul."""
"9481","Driven by masters more terrible than the Mercadians could imagine, the dark overseers would pay any price to keep their shipwrights working."
"9482","She seeks the warmth of the living."
"9483","""You have an unhealthy attachment to your selfhood. I can help you with that."" —Malcator, Executor of Synthesis"
"9484","Don't drink and thrive."
"9485","""I smell the tang of a mortal's fresh blood. I hear it sliding wetly beneath its skin. My hunger cannot refuse the invitation."" —Yuri, Sengir vampire"
"9486","""Surrender your soul to me."""
"9487","They danced like puppets to a tune only Yawgmoth could hear."
"9488","""Birth and death are both reversible."" —Nicol Bolas"
"9489","""Healing is more art than magic. Well, there is still quite a bit of magic."""
"9490","Within seconds, the nim was consumed in blinding sunfire. Afterwards, only a puddle of molten iron remained."
"9491","""In every other mind, the battle was lost. General Takeno alone was not touched by despair. Drawing his blade, he was attack and rallying cry in one."" —Battle of Akagi River: A Survivor's Tale"
"9492","It's there when a seed sprouts, when gourds ripen on the vines, and when the reapers cut the grains under the Harvest Moon."
"9493","With Kumena in control of the Immortal Sun, the rapids rose from their riverbeds and the waterfalls took flight."
"9494","""I was called to this world of steel, and it will be my steel that answers."" —Elspeth"
"9495","The Maelstrom sent a wave of raw mana through the battlefield, carrying off the fighting and fallen alike."
"9496","Their thoughtweft carried Darial's last thoughts back to his doun. They sorely wished it had not."
"9497","""Since I cannot stop death, I choose to stop life."" —Kaervek"
"9498","The first mistake the Grimnant knights made was bullying the owner of an Urborg corpse shop. Their second mistake was dying."
"9499","In truth, her own faith was gone, trodden in Ulamog's wake. She pantomimed the blessing in the hope that it would inspire others to continue to struggle."
"9500","""I have seen the end of times, a future in which all our kind are torn from this world."" —Ushanti, leonin shaman"
"9501","Does the stone mimic life, or did it once live?"
"9502","An avatar he sculpts of anger and flame."
"9503","An avatar he sculpts of fellowship and light."
"9504","""The sidar who raised me had a saying: 'The first step into death is the hardest.'"" —Gerrard of the Weatherlight"
"9505","It would be a shame to let life slip away to nothing."
"9506","""The flesh is a casket for the soul."" —Shauku, Endbringer"
"9507","An avatar he sculpts of wisdom and strength."
"9508","An avatar he sculpts of instinct and force."
"9509","""Body and spirit are sworn enemies. They will take any excuse to be rid of each other."" —Tariel, Reckoner of Souls"
"9510","They once sought to unite with the flame of transcendence. Now they seek only to extinguish the lights of others."
"9511","""More horrible than their empty forms are their noble eyes. I dare not strike."" —Klattic, Boros legionnaire"
"9512","Everyone is manipulated. It's just more obvious with the dead."
"9513","Ugin's magic reaches beyond the dragons. The clans have adapted it for war."
"9514","It draws its strength from those around it, but the pleasure of destruction is all its own."
